"Suburb","Address","Rooms","Type","Price","Method","SellerG","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea"
"Oakleigh South","24 Terrigal Av",4,"h",1410000,"S","Buxton",14.7,"3167",NA,NA,NA,NA,NA,NA,""
"Doncaster","6/14 Firth St",2,"u",400000,"VB","Ross",13.9,"3108",2,1,2,0,NA,NA,"Manningham"
"Hawthorn","9 Power St",5,"h",3750000,"PI","Marshall",4.6,"3122",5,3,2,827,344,1920,"Boroondara"
"Richmond","193 Mary St",2,"h",1102000,"S","Biggin",2.6,"3121",2,1,1,167,NA,NA,"Yarra"
"Prahran","16A Perth St",3,"h",1050000,"S","Marshall",4.5,"3181",3,2,1,8216,130,1995,"Stonnington"
"Elsternwick","14 Prentice St",3,"h",1805000,"PI","Biggin",8.5,"3185",3,2,1,347,NA,NA,"Glen Eira"
"Keilor East","89 Sterling Dr",4,"h",680000,"S","Barry",12.8,"3033",4,2,2,545,NA,NA,"Brimbank"
"Coburg North","6 Portrait Wy",3,"h",682000,"S","Nelson",9.2,"3058",NA,NA,NA,NA,NA,NA,""
"Brunswick","78 Stewart St",3,"h",910000,"S","Jellis",5.2,"3056",2,1,1,215,NA,NA,"Moreland"
"Flemington","6/47 Railway Pl W",2,"u",360000,"PI","Nelson",4.4,"3031",2,1,1,0,NA,NA,"Moonee Valley"
"Windsor","54a Hornby St",2,"h",1045000,"S","Marshall",5.1,"3181",2,1,2,118,NA,1993,"Stonnington"
"Glenroy","1/23 Gordon Ct",3,"t",500000,"SP","Stockdale",13,"3046",NA,NA,NA,NA,NA,NA,""
"South Yarra","8/28 The Righi",1,"u",612000,"S","hockingstuart",3.3,"3141",1,1,1,607,NA,NA,"Stonnington"
"Coburg","11 Vincent St",3,"h",951000,"SP","Nelson",7.8,"3058",3,2,0,342,NA,NA,"Moreland"
"Templestowe Lower","3 Waratah Dr",4,"h",1201000,"SP","Zahn",13.8,"3107",4,2,2,657,221,1978,"Manningham"
"Brighton East","9a Elizabeth St",3,"h",1355000,"S","C21",10.7,"3187",3,1,2,759,151,1930,"Bayside"
"Balwyn","5 Millah Rd",4,"h",3270000,"S","Fletchers",9.7,"3103",4,2,4,935,241,1927,"Boroondara"
"Coburg North","24 Norris St",4,"h",792000,"SP","Jellis",9.2,"3058",4,2,1,320,131,1950,"Moreland"
"Sunshine West","16A Sunrise Dr",3,"t",640000,"S","Sweeney",13.5,"3020",NA,NA,NA,NA,NA,NA,""
"Fawkner","1b McDougall St",2,"h",378000,"S","Re",12.4,"3060",2,1,1,215,100,1990,"Moreland"
"Ascot Vale","2 Farncomb St",3,"h",801000,"S","Jellis",5.9,"3032",3,1,2,431,NA,1950,"Moonee Valley"
"Seddon","38 Lily St",3,"h",1325000,"VB","Jas",6.6,"3011",3,3,2,227,211,2015,"Maribyrnong"
"Collingwood","104/35 Victoria Pde",1,"u",477500,"S","Biggin",1.6,"3066",NA,NA,NA,NA,NA,NA,""
"Port Melbourne","304/38 Nott St",2,"u",795000,"S","Cayzer",3.8,"3207",2,2,1,579,84,2013,"Melbourne"
"Balwyn","51 Elliott Av",4,"h",1530000,"S","hockingstuart",9.7,"3103",NA,NA,NA,NA,NA,NA,""
"Murrumbeena","5/13 Toward St",2,"t",690000,"S","hockingstuart",12.1,"3163",2,1,1,129,NA,NA,"Glen Eira"
"Albert Park","1 Moubray St",3,"h",1800000,"VB","Greg",3.3,"3206",3,2,1,132,159,1996,"Port Phillip"
"Maribyrnong","8/42 Wests Rd",2,"t",355000,"SP","Biggin",8.7,"3032",2,1,1,0,88,2004,"Maribyrnong"
"Heidelberg","4/97 Hawdon St",4,"u",830000,"S","Miles",10.6,"3084",4,2,2,1180,NA,NA,"Banyule"
"Bentleigh","7 Marquis Rd",4,"h",1420000,"S","Woodards",13,"3204",4,1,4,786,NA,NA,"Glen Eira"
"Caulfield North","5/698 Inkerman Rd",2,"u",523000,"SP","hockingstuart",8.1,"3161",2,1,1,0,NA,1960,"Glen Eira"
"West Melbourne","11/24 Ireland St",1,"u",482000,"SP","Nelson",1.9,"3003",1,1,1,0,62,1930,"Melbourne"
"Glen Iris","7 Hope St",3,"t",1200000,"VB","O'Donoghues",9.2,"3146",3,2,2,541,NA,NA,"Stonnington"
"St Kilda","66 Blessington St",4,"h",2400000,"VB","hockingstuart",6.1,"3182",NA,NA,NA,NA,NA,NA,""
"Fitzroy","502/69 Victoria St",2,"u",692000,"S","Nelson",1.6,"3065",2,1,1,0,NA,NA,"Yarra"
"Bentleigh East","10a Bevis St",4,"t",1200000,"PI","Marshall",13.9,"3165",NA,NA,NA,NA,NA,NA,""
"Port Melbourne","366 Williamstown Rd",4,"h",2105000,"S","Cayzer",3.8,"3207",4,2,3,611,181,1940,"Port Phillip"
"Maribyrnong","5 Lyric St",4,"h",940000,"S","GL",8.7,"3032",4,2,1,325,NA,2004,"Maribyrnong"
"Essendon West","479a Buckley St",3,"h",685000,"S","Nelson",9.8,"3040",3,1,2,293,NA,NA,"Moonee Valley"
"Moonee Ponds","35 Athol St",3,"h",1425000,"SP","Brad",6.9,"3039",3,1,1,526,159,1900,"Moonee Valley"
"Fawkner","106 William St",3,"h",620000,"S","Stockdale",12.4,"3060",3,1,2,604,190,1970,"Moreland"
"South Yarra","6/21 Kensington Rd",2,"u",551000,"S","Williams",3.3,"3141",2,1,0,0,NA,NA,"Stonnington"
"Bentleigh East","96 Brady Rd",3,"h",1050000,"S","Buxton",13.9,"3165",3,2,2,627,140,1950,"Glen Eira"
"Sunshine North","11 Godfrey Av",4,"h",785000,"S","Melbourne",13.3,"3020",NA,NA,NA,NA,NA,NA,""
"Balwyn North","13 Riverview Rd",4,"h",2205000,"PI","RW",9.2,"3104",4,2,2,750,214,1950,"Boroondara"
"Richmond","320 Church St",3,"h",1651000,"S","Jellis",2.6,"3121",3,2,1,192,111,1900,"Yarra"
"Avondale Heights","6 Lovett Dr",4,"h",1200000,"S","Nelson",10.5,"3034",4,5,4,673,NA,NA,"Moonee Valley"
"Balwyn","6 Tonkin Av",2,"h",1900000,"VB","Marshall",9.7,"3103",NA,NA,NA,NA,NA,NA,""
"Bentleigh","9 Yawla St",4,"h",2255000,"S","hockingstuart",13,"3204",4,3,2,557,353,2008,"Glen Eira"
"Glenroy","1/15 Acacia St",2,"t",484852,"SP","Eview",13,"3046",NA,NA,NA,NA,NA,NA,""
"Kingsville","132 Coronation St",3,"h",1035000,"SP","Village",7.8,"3012",3,2,2,275,145,1920,"Maribyrnong"
"Brighton","4/34 Elwood St",3,"h",1171000,"S","Nick",11.2,"3186",3,2,2,279,NA,1970,"Bayside"
"Kew","7a Peel St",3,"h",1450000,"VB","Jellis",5.6,"3101",3,2,2,247,204,1998,"Boroondara"
"Brunswick West","2/243 Union St",2,"t",680000,"VB","Nelson",5.9,"3055",2,1,1,0,82,1970,"Moreland"
"Brunswick West","107/480 Albion St",2,"u",400500,"SP","Nelson",5.9,"3055",2,1,1,0,70,2013,"Moreland"
"Brighton East","9 Montgomery St",4,"h",2820000,"S","Buxton",10.7,"3187",4,4,4,509,337,1960,"Bayside"
"Coburg","12 Hardwick St",3,"h",1010000,"S","Jellis",7.8,"3058",3,2,1,278,278,NA,"Moreland"
"Bentleigh East","3 Molden St",5,"h",1550000,"S","Hodges",13.9,"3165",5,3,2,623,257,1950,"Glen Eira"
"Templestowe Lower","2/28 Hazel Dr",3,"u",641000,"S","Jellis",13.8,"3107",3,1,2,349,NA,NA,"Manningham"
"Pascoe Vale","1c Adelaide St",3,"t",540000,"VB","Brad",9.9,"3044",NA,NA,NA,NA,NA,NA,""
"North Melbourne","331 Flemington Rd",4,"h",1330000,"S","McDonald",2.3,"3051",3,2,1,246,NA,NA,"Melbourne"
"Ivanhoe East","17 Streeton Cr",4,"h",2850000,"VB","Miles",9,"3079",NA,NA,NA,NA,NA,NA,""
"Footscray","119 Droop St",2,"h",745000,"S","Village",6.4,"3011",2,1,1,355,74,1890,"Maribyrnong"
"Strathmore","34 Lind St",4,"t",995000,"SP","Nelson",9.7,"3041",4,3,1,260,NA,NA,"Moonee Valley"
"Camberwell","1/32 Allambee Av",2,"u",753000,"S","Garvey",7.8,"3124",NA,NA,NA,NA,NA,NA,""
"Brunswick West","2/530 Victoria St",2,"u",497000,"S","Hodges",5.9,"3055",2,1,1,0,84,1977,"Moreland"
"Brunswick","36 Charles St",4,"h",1875000,"S","Jellis",5.2,"3056",4,2,2,657,207,1958,"Moreland"
"Carlton North","86 Wilson St",3,"h",1555000,"S","Woodards",3.2,"3054",NA,NA,NA,NA,NA,NA,""
"Murrumbeena","3 Churchill Cl",3,"t",1160000,"S","hockingstuart",12.1,"3163",3,2,2,302,172,2000,"Glen Eira"
"Malvern","29/202 Wattletree Rd",2,"u",566000,"SP","hockingstuart",7.4,"3144",2,1,1,0,80,1970,"Stonnington"
"Sunshine","3 Lynch St",3,"h",715000,"S","YPA",12.6,"3020",3,1,2,558,104,1925,"Brimbank"
"Prahran","7/297 Dandenong Rd",2,"u",480000,"PI","hockingstuart",4.5,"3181",2,1,2,0,NA,1970,"Stonnington"
"Kingsville","83 Kingsville St",1,"h",630000,"S","Burnham",7.8,"3012",1,1,1,370,NA,NA,"Maribyrnong"
"Ashburton","20 Alamein Av",3,"h",1601000,"S","Tim",11,"3147",NA,NA,NA,NA,NA,NA,""
"Essendon","20 Warner St",2,"h",890000,"PI","Nelson",8,"3040",2,1,1,649,108,1950,"Moonee Valley"
"Airport West","3/35 Walters Av",3,"t",552000,"SP","Nelson",13.5,"3042",NA,NA,NA,NA,NA,NA,""
"Flemington","11 Finsbury St",3,"h",1130000,"S","Nelson",4.4,"3031",3,1,0,294,140,1900,"Moonee Valley"
"Bulleen","49 Furneaux Gr",4,"h",1002000,"S","Jellis",11.8,"3105",4,1,2,650,323,NA,"Manningham"
"Brighton","124 Cole St",4,"h",1761000,"S","Kay",11.2,"3186",4,2,3,615,135,1920,"Bayside"
"Brunswick East","21 Roberts St",3,"t",899000,"SP","Jellis",4.5,"3057",3,2,1,116,124,2007,"Moreland"
